title,company_name,category,description
Analista de Dados Jr,TechCorp,Data,"Procuramos Analista de Dados com conhecimento em SQL, Power BI e Excel. Python é diferencial."
Analista de BI,Insight Ltd,Data,"Experiência com Power BI, SQL e visualização de dados."
Cientista de Dados Jr,AI Solutions,Data,"Python, Machine Learning, estatística e análise de dados."
Desenvolvedor Backend,CodeBase,Software,"Node.js, APIs, banco de dados e arquitetura backend."
Engenheiro de Dados,DataFlow Inc,Data,"Experiência com Python, SQL, pipelines ETL e cloud."
Estagiário de Analytics,StartUpX,Data,"Conhecimento básico em Excel, SQL e dashboards. Power BI é diferencial."
Analista de Produto,ProductHub,Data,"Habilidades analíticas, SQL e comunicação com stakeholders."
Desenvolvedor Frontend,WebWorks,Software,"React, JavaScript e design UI/UX."
Engenheiro de Machine Learning,DeepTech,Data,"Python, modelos de ML, pipelines de dados e cloud."
Analista de Relatórios,FinanceCorp,Data,"Excel, Power BI, automação de relatórios e SQL."
